Year,District,Block_Panchayat,Ward_No,Ward_Name,Winning_Candidate,Party,Category,Reservation_Status,Source
2015,Alappuzha,Bharanickavu,7,L.S.WARD,P.P.KOSHY,INC,General,General,OpenDataKerala GitHub
2015,Alappuzha,Bharanickavu,8,CHARUMMOODU,LILLY GOPALAKRISHNAN,IUML,SC Woman,SC Woman,OpenDataKerala GitHub
2015,Alappuzha,Bharanickavu,9,THAMARAKKULAM,M.K.VIMALAN,CPI(M),General,General,OpenDataKerala GitHub
2015,Alappuzha,Bharanickavu,10,KANNANAKUZHY,LEENA R.,CPI,Woman,Woman,OpenDataKerala GitHub
2015,Alappuzha,Bharanickavu,11,VALLIKUNNAM,GEETHAKUMARI L.,CPI,Woman,Woman,OpenDataKerala GitHub
2015,Alappuzha,Bharanickavu,12,MANACKAD,RASIYA E.,CPI(M),Woman,Woman,OpenDataKerala GitHub
2015,Alappuzha,Bharanickavu,13,KATTANAM,RAJINI JAYADEV,INDEPENDENT,Woman,Woman,OpenDataKerala GitHub
2015,Alappuzha,Muthukulam,1,MANGALAM,SHAMSUDEEN KAYIPPURAM,INC,General,General,OpenDataKerala GitHub
2015,Alappuzha,Muthukulam,2,CHINGOLI,RANJITH CHINGOLI,INC,General,General,OpenDataKerala GitHub
2015,Alappuzha,Muthukulam,3,CHEPPAD,MANILEKHA.M,KC,Woman,Woman,OpenDataKerala GitHub
2015,Alappuzha,Muthukulam,4,EVOOR,INDU SANTHOSH,CPI(M),Woman,Woman,OpenDataKerala GitHub
2015,Alappuzha,Muthukulam,5,PATHIYOOR EAST,ANANDAN R,CPI,SC,SC,OpenDataKerala GitHub
2015,Alappuzha,Muthukulam,6,PULLIKKANAKKU,SOMALETHA. N,CPI,General,General,OpenDataKerala GitHub
2015,Alappuzha,Muthukulam,7,KRISHNAPURAM,AJAYAN AMMAS,CPI(M),General,General,OpenDataKerala GitHub
2015,Alappuzha,Muthukulam,8,DEVIKULANGARA,SREEKUMARI T,CPI(M),Woman,Woman,OpenDataKerala GitHub
2015,Alappuzha,Muthukulam,9,KANDALLOOR SOUTH,SHAIMOL NANDAKUMAR,CPI(M),Woman,Woman,OpenDataKerala GitHub
2015,Alappuzha,Muthukulam,10,PATHIYOOR WEST,ADV.BIPIN C BABU,CPI(M),General,General,OpenDataKerala GitHub
2015,Alappuzha,Muthukulam,11,CHOOLATHERUVE,SUJITH S,INC,General,General,OpenDataKerala GitHub
2015,Alappuzha,Muthukulam,12,MUTHUKULAM,B.VENUPRASAD,INC,General,General,OpenDataKerala GitHub
2015,Alappuzha,Muthukulam,13,KANDALLOOR,AMBUJAKSHY TEACHER,CPI(M),Woman,Woman,OpenDataKerala GitHub
2015,Alappuzha,Muthukulam,14,ARATTUPUZHA SOUTH,SARI PODIYAN,INC,General,General,OpenDataKerala GitHub
2015,Kottayam,Vaikom,1,CHEMPU,V K RAJU,CPI(M),SC,SC,OpenDataKerala GitHub
2015,Kottayam,Vaikom,2,BRAHMAMANGALAM,SANDHYAMOL SUNIL,CPI,SC Woman,SC Woman,OpenDataKerala GitHub
2015,Kottayam,Vaikom,3,MARAVANTHURUTHU,V BHASKARAN MUDAKKALIL,CPI,General,General,OpenDataKerala GitHub
2015,Kottayam,Vaikom,4,VAIKAPRAYAR,K V UDAYAKUMAR,CPI,General,General,OpenDataKerala GitHub
2015,Kottayam,Vaikom,5,THOTTAKOM,MAYA SHAJI,CPI,Woman,Woman,OpenDataKerala GitHub
2015,Kottayam,Vaikom,6,EDAYAZHAM,SREEDEVI JAYAN,CPI,Woman,Woman,OpenDataKerala GitHub
2015,Kottayam,Vaikom,7,VECHOOR,K S SHIBU,CPI(M),General,General,OpenDataKerala GitHub
2015,Kottayam,Vaikom,8,KOTHAVARA,JAYAKUMARI M Y,CPI(M),General,General,OpenDataKerala GitHub
2015,Kottayam,Vaikom,9,T V PURAM,LEENAMMA UDAYAKUMAR,CPI,Woman,Woman,OpenDataKerala GitHub
2015,Kottayam,Vaikom,10,CHEMMANATHUKARA,NATESAN K N,CPI(M),General,General,OpenDataKerala GitHub
2015,Kottayam,Vaikom,11,UDAYANAPURAM,SHEELA SASIDHARAN,CPI(M),Woman,Woman,OpenDataKerala GitHub
2015,Kottayam,Vaikom,12,NEREKADAVU,ANIJI PRASAD,CPI(M),Woman,Woman,OpenDataKerala GitHub
2015,Kottayam,Vaikom,13,KULASEKHARAMANGALAM,T K RAJENDRAN,CPI(M),General,General,OpenDataKerala GitHub
2015,Kottayam,Kaduthuruthy,1,VADAKARA,K M SUDHARMAN,CPI,General,General,OpenDataKerala GitHub
2015,Kottayam,Kaduthuruthy,2,VELLOOR,SAROJINI THANKAPPAN,CPI(M),Woman,Woman,OpenDataKerala GitHub
2015,Kottayam,Kaduthuruthy,3,MULAKULAM,PADMA CHANDRAN,CPI(M),Woman,Woman,OpenDataKerala GitHub
2015,Kottayam,Kaduthuruthy,4,KEEZHOOR,JANCY MATHEW,INC,Woman,Woman,OpenDataKerala GitHub
2015,Kottayam,Kaduthuruthy,5,NJEEZHOOR,NAYANA BIJU,KC(M),Woman,Woman,OpenDataKerala GitHub
2015,Kottayam,Kaduthuruthy,6,KATTAMPACK,LUSAMMA JAMES(RANI),KC(M),Woman,Woman,OpenDataKerala GitHub
2015,Kottayam,Kaduthuruthy,7,MUTTUCHIRA,LILLYKUTTY MATHEW,CPI(M),Woman,Woman,OpenDataKerala GitHub
2015,Kottayam,Kaduthuruthy,8,KADUTHURUTHY,JOSE P J,KC(M),General,General,OpenDataKerala GitHub
2015,Kottayam,Kaduthuruthy,9,AYAMKUDY,PRAMOD,CPI(M),General,General,OpenDataKerala GitHub
2015,Kottayam,Kaduthuruthy,11,KALLARA,P K UTHAMAN,INC,General,General,OpenDataKerala GitHub
2015,Kottayam,Kaduthuruthy,12,THALAYOLAPARAMBU,C N SANTHOSH,CPI(M),SC,SC,OpenDataKerala GitHub
2015,Kottayam,Kaduthuruthy,13,POTHY,K A THOMAS,INDEPENDENT,General,General,OpenDataKerala GitHub
2015,Kottayam,Ettumanoor,1,PARIPPU,BEENA BINU,INC,Woman,Woman,OpenDataKerala GitHub
2015,Kottayam,Ettumanoor,2,PRAVATTOM,T K SIVASANKARAN,INC,SC,SC,OpenDataKerala GitHub
2015,Kottayam,Ettumanoor,3,NEENDOOR,LALITHA SUJATHAN,INC,Woman,Woman,OpenDataKerala GitHub
2015,Kottayam,Ettumanoor,4,ATHIRAMPUZHA,SAJAN GEORGE (SAJI THADATHIL),KC(M),General,General,OpenDataKerala GitHub
2015,Kottayam,Ettumanoor,5,UNIVERSITY,MOLLY LOUIS,INC,Woman,Woman,OpenDataKerala GitHub
2015,Kottayam,Ettumanoor,6,MANNANAM,P V MICHAEL,INC,General,General,OpenDataKerala GitHub
2015,Kottayam,Ettumanoor,7,KARIPPUTHATTU,MOLAMMA SABU,INC,Woman,Woman,OpenDataKerala GitHub
2015,Kottayam,Ettumanoor,8,KUDAMALOOR,USHA BALACHANDRAN,CPI(M),Woman,Woman,OpenDataKerala GitHub
2015,Kottayam,Ettumanoor,9,AYMANAM,ARUN M S,CPI(M),General,General,OpenDataKerala GitHub
2015,Kottayam,Ettumanoor,10,THONDAMPRAL,M S BASHEER,CPI(M),General,General,OpenDataKerala GitHub
2015,Kottayam,Ettumanoor,11,THIRUVARPPU,SANITHA ANEESH,CPI(M),Woman,Woman,OpenDataKerala GitHub
2015,Kottayam,Ettumanoor,12,KUMARAKOM,K V BINDU,CPI(M),Woman,Woman,OpenDataKerala GitHub
2015,Kottayam,Ettumanoor,13,KAVANATTINKARA,K M BABU,CPI(M),General,General,OpenDataKerala GitHub
2015,Kottayam,Uzhavoor,1,VELIYANNOOR,VALSA RAJAN,INC,Woman,Woman,OpenDataKerala GitHub
2015,Kottayam,Uzhavoor,2,PAZHAMALA,LISSY BABY MULAYINKAL,INC,Woman,Woman,OpenDataKerala GitHub
2015,Kottayam,Uzhavoor,3,RAMAPURAM,K R SASEENDRAN,KC(M),SC,SC,OpenDataKerala GitHub
2015,Kottayam,Uzhavoor,4,UZHAVOOR,MOLLY LUKOSE,KC(M),Woman,Woman,OpenDataKerala GitHub
2015,Kottayam,Uzhavoor,5,MARANGATTUPILLY,NIRMALA DIVAKARAN,KC(M),Woman,Woman,OpenDataKerala GitHub
2015,Kottayam,Uzhavoor,6,KADAPLAMATTOM,THOMAS T KEEPURAM,KC(M),General,General,OpenDataKerala GitHub
2015,Kottayam,Uzhavoor,7,VEMPALLY,BIJU MATHEW (BIJU PATHIRIMALAYIL),KC(M),General,General,OpenDataKerala GitHub
2015,Kottayam,Uzhavoor,8,KANAKKARY,K P JAYAPRAKASH,CPI(M),General,General,OpenDataKerala GitHub
2015,Kottayam,Uzhavoor,9,KURUMULLOOR,BIJUMON MATHEW,KC(M),General,General,OpenDataKerala GitHub
2015,Kottayam,Uzhavoor,10,MANJOOR,MARY JOSE,INC,Woman,Woman,OpenDataKerala GitHub
2015,Kottayam,Uzhavoor,11,KOTHANALLOOR,C M GEORGE,KC(M),General,General,OpenDataKerala GitHub
2015,Kottayam,Uzhavoor,12,KURAVILANGAD,ANCY JOSE,INC,Woman,Woman,OpenDataKerala GitHub
2015,Kottayam,Uzhavoor,13,MONIPPALLY,LILLY MATHEW,KC(M),Woman,Woman,OpenDataKerala GitHub
2015,Kottayam,Lalam,1,VALAVOOR,SANTHOSH J,INC,General,General,OpenDataKerala GitHub
2015,Kottayam,Lalam,2,‍KAROOR,SIBY ODACKAL,KC(M),General,General,OpenDataKerala GitHub
2015,Kottayam,Lalam,3,KADANAD,JIJI THAMPY,KC(M),Woman,Woman,OpenDataKerala GitHub
2015,Kottayam,Lalam,4,NEELOOR,PAULIT THANKACHAN,INC,Woman,Woman,OpenDataKerala GitHub
2015,Kottayam,Lalam,5,ULLANADU,ADV. JOSE PLAKKOOTTAM,INC,General,General,OpenDataKerala GitHub
2015,Kottayam,Lalam,6,PRAVITHANAM,PREETHY SHAJI,KC(M),Woman,Woman,OpenDataKerala GitHub
2015,Kottayam,Lalam,7,BHARANANGANAM,BINDU SYAM,INC,Woman,Woman,OpenDataKerala GitHub
2015,Kottayam,Lalam,8,POOVARANI,ANNAKUTTY JAMES,KC(M),Woman,Woman,OpenDataKerala GitHub
2015,Kottayam,Lalam,9,KOZHUVANAL,BABU M K,KC(M),SC,SC,OpenDataKerala GitHub
2015,Kottayam,Lalam,10,CHERPUNKAL,SHALET JOSEPH,INC,Woman,Woman,OpenDataKerala GitHub
2015,Kottayam,Lalam,11,MUTHOLY,HARIDAS S R,INDEPENDENT,General,General,OpenDataKerala GitHub
2015,Kottayam,Lalam,12,PULIYANNOOR,JESSY JOSE,KC(M),Woman,Woman,OpenDataKerala GitHub
2015,Kottayam,Lalam,13,VALLICHIRA,GEORGE AUGUSTINE,KC(M),General,General,OpenDataKerala GitHub
2015,Kottayam,Erattupetta,1,MELUKAVU,MARIAMMA FERNANDAS,KC(M),Woman,Woman,OpenDataKerala GitHub
2015,Kottayam,Erattupetta,2,MOONNILAVU,SAJEEVAN GOPALAN,INC,SC,SC,OpenDataKerala GitHub
2015,Kottayam,Erattupetta,3,THALANAD,ROHINI BAI UNNIKRISHNAN,INC,Woman,Woman,OpenDataKerala GitHub
2015,Kottayam,Erattupetta,4,THEEKOY,BINOY JOSEPH,INC,General,General,OpenDataKerala GitHub
2015,Kottayam,Erattupetta,5,KALLEKULAM,ROHINI JOSEPH,KC(S),Woman,Woman,OpenDataKerala GitHub
2015,Kottayam,Erattupetta,6,PATHAMPUZHA,SINDHU SHAJI,CPI(M),Woman,Woman,OpenDataKerala GitHub
2015,Kottayam,Erattupetta,7,VALATHOOKKU,ANIYAMMA SANNI,KC(S),Woman,Woman,OpenDataKerala GitHub
2015,Kottayam,Erattupetta,8,POONJAR,K.R.MOHANAN NAIR,CPI(M),General,General,OpenDataKerala GitHub
2015,Kottayam,Erattupetta,9,PINNAKKANADU,V.T.THOMAS VADAKARA,KC(S),General,General,OpenDataKerala GitHub
2015,Kottayam,Erattupetta,10,THIDANAD,LISSY THOMAS,KC(M),Woman,Woman,OpenDataKerala GitHub
2015,Kottayam,Erattupetta,11,KONDOOR,A.V SAMUEL,CPI(M),ST,ST,OpenDataKerala GitHub
2015,Kottayam,Erattupetta,12,THALAPPALAM,PREMJI.R,INC,General,General,OpenDataKerala GitHub
2015,Kottayam,Erattupetta,13,KALATHUKADAVU,SOUMYA JOSEPH,KC(M),General,General,OpenDataKerala GitHub
2015,Kottayam,Pampady,1,KIDANGOOR,JOSE THADATHIL,KC(M),General,General,OpenDataKerala GitHub
2015,Kottayam,Pampady,2,KIDANGOOR SOUTH,JYOTHI BALAKRISHNAN,CPI,Woman,Woman,OpenDataKerala GitHub
2015,Kottayam,Pampady,3,AKALAKKUNNAM,MATHEW T.S,INC,General,General,OpenDataKerala GitHub
2015,Kottayam,Pampady,4,CHENGALAM,SAJAN THODUKA,KC(M),General,General,OpenDataKerala GitHub
2015,Kottayam,Pampady,5,ELIKULAM,ROSMI JOSE,INDEPENDENT,Woman,Woman,OpenDataKerala GitHub
2015,Kottayam,Pampady,6,ANICKAD,ANEESH V.K,KC(M),SC,SC,OpenDataKerala GitHub
2015,Kottayam,Pampady,7,PALLICKATHOD,SANDYA DEVI,INC,Woman,Woman,OpenDataKerala GitHub
2015,Kottayam,Pampady,8,KOOROPPADA,AMBILY MATHEW,INC,Woman,Woman,OpenDataKerala GitHub
2015,Kottayam,Pampady,9,KOTHALA,KUNJUNJAMMA KURIAN,INC,Woman,Woman,OpenDataKerala GitHub
2015,Kottayam,Pampady,10,PAMPADY,ANNAMMA CHERIAN,INC,Woman,Woman,OpenDataKerala GitHub
2015,Kottayam,Pampady,11,MEENADOM,SATHEESH VARKEY,CPI(M),General,General,OpenDataKerala GitHub
2015,Kottayam,Pampady,12,VELLOOR,ANISHMON T.K,INC,General,General,OpenDataKerala GitHub
2015,Kottayam,Pampady,13,MAALAM,GIGI JIJI MANARCAD,INC,Woman,Woman,OpenDataKerala GitHub
2015,Kottayam,Pampady,14,MANARCAD,SABU CHERIAN,INC,General,General,OpenDataKerala GitHub
2015,Kottayam,Pallom,1,AYARKUNNAM,SHAILAJA REJI,INC,Woman,Woman,OpenDataKerala GitHub
2015,Kottayam,Pallom,2,THIRUVANCHOOR,T T SASEENDRANATH,INC,SC,SC,OpenDataKerala GitHub
2015,Kottayam,Pallom,3,VADAVATHOOR,VINOD P KURIAN,INC,General,General,OpenDataKerala GitHub
2015,Kottayam,Pallom,4,MANGANAM,REGI MON JOSEPH,INC,General,General,OpenDataKerala GitHub
2015,Kottayam,Pallom,5,PUTHUPPALLY,SEEMOL C THOMAS,KC(M),Woman,Woman,OpenDataKerala GitHub
2015,Kottayam,Pallom,6,PANACHIKADU,LATHAKUMARI SALIMON,INC,Woman,Woman,OpenDataKerala GitHub
2015,Kottayam,Pallom,7,MALAKUNNAM,BETTY TOJO CHITTETTUKALAM,INC,Woman,Woman,OpenDataKerala GitHub
2015,Kottayam,Pallom,8,KURICHI,NEETHU THOMAS,KC(M),Woman,Woman,OpenDataKerala GitHub
2015,Kottayam,Pallom,9,PATHAMUTTAM,JESSY CHACKO,INC,Woman,Woman,OpenDataKerala GitHub
2015,Kottayam,Pallom,10,KUZHIMATTOM,M BABU,CPI(M),General,General,OpenDataKerala GitHub
2015,Kottayam,Pallom,11,KOLLADU,GIRIJA THULASEEDHARAN,INC,Woman,Woman,OpenDataKerala GitHub
2015,Kottayam,Pallom,12,NATTASSERY,ROY JOHN EDAYATHARA,INC,General,General,OpenDataKerala GitHub
2015,Kottayam,Pallom,13,NEERIKKADU,JOICE JOSEPH KOTTATHIL,INC,General,General,OpenDataKerala GitHub
2015,Kottayam,Madappally,1,THURUTHY,JOHNSON ALEXANDER,KC(M),General,General,OpenDataKerala GitHub
2015,Kottayam,Madappally,2,VEROORCHIRA,RAKHI KALESH,INC,Woman,Woman,OpenDataKerala GitHub
2015,Kottayam,Madappally,3,INDUSTRIAL NAGAR,ACHAMMA MATHEW,KC(M),Woman,Woman,OpenDataKerala GitHub
2015,Kottayam,Madappally,4,VAKATHANAM,LAISAMMA GEORGE,INC,Woman,Woman,OpenDataKerala GitHub
2015,Kottayam,Madappally,5,THOTTAKKADU,SAJI.K. GEORGE,INC,General,General,OpenDataKerala GitHub
2015,Kottayam,Madappally,6,KURUMBANADOM,ALEXANDER,KC(M),General,General,OpenDataKerala GitHub
2015,Kottayam,Madappally,7,MAMMOODU,SAINA THOMAS,KC(M),Woman,Woman,OpenDataKerala GitHub
2015,Kottayam,Madappally,8,THENGANA,MANIYAMMA RAJAPPAN,CPI(M),SC,SC,OpenDataKerala GitHub
2015,Kottayam,Madappally,9,KOTTAMURY,RAJANI SABU,CPI(M),Woman,Woman,OpenDataKerala GitHub
2015,Kottayam,Madappally,10,AYERKKATTUVAYAL,BINOY JOSEPH,CPI(M),General,General,OpenDataKerala GitHub
2015,Kottayam,Madappally,11,THRICKODITHANAM,SUNITHA SURESH,CPI(M),Woman,Woman,OpenDataKerala GitHub
2015,Kottayam,Madappally,12,PAIPPAD,RANI JOSEPH,INDEPENDENT,Woman,Woman,OpenDataKerala GitHub
2015,Kottayam,Madappally,13,POOVAM,ABY VARGHESE,CPI(M),General,General,OpenDataKerala GitHub
2015,Kottayam,Vazhoor,1,KARUKACHAL,K P BALAGOPALAN NAIR,CPI(M),General,General,OpenDataKerala GitHub
2015,Kottayam,Vazhoor,2,NEDUMKUNNAM,RAJESH,INC,General,General,OpenDataKerala GitHub
2015,Kottayam,Vazhoor,3,PULICKALKAVALA,GEETHA S PILLAI,CPI(M),Woman,Woman,OpenDataKerala GitHub
2015,Kottayam,Vazhoor,4,KODUNGOOR,K S VIJAYAKUMAR,CPI,General,General,OpenDataKerala GitHub
2015,Kottayam,Vazhoor,5,PONKUNNAM,A R SAGAR,CPI(M),General,General,OpenDataKerala GitHub
2015,Kottayam,Vazhoor,6,CHIRAKKADAVU,AMMINIAMMA,CPI(M),Woman,Woman,OpenDataKerala GitHub
2015,Kottayam,Vazhoor,7,CHERUVALLY,JAYA A M,BJP,Woman,Woman,OpenDataKerala GitHub
2015,Kottayam,Vazhoor,8,MANIMALA,JOSEKUTTY,KC(M),General,General,OpenDataKerala GitHub
2015,Kottayam,Vazhoor,9,VELLAVOOR,SUMA DEVI G,INC,Woman,Woman,OpenDataKerala GitHub
2015,Kottayam,Vazhoor,10,KANAM,SURESH K GOPAL,CPI,SC,SC,OpenDataKerala GitHub
2015,Kottayam,Vazhoor,11,PATHANAD,SUSHAMA SIVADAS,INC,Woman,Woman,OpenDataKerala GitHub
2015,Kottayam,Vazhoor,12,CHELAKOMPU,ROSAMMA THOMAS,KC(M),Woman,Woman,OpenDataKerala GitHub
2015,Kottayam,Vazhoor,13,KOOTHRAPPALLY,KUSUMAM GEORGE,KC(M),Woman,Woman,OpenDataKerala GitHub
2015,Kottayam,Kanjirappally,1,ANAKKALLU,JOLLY MADUKKAKUZHY,KC(M),General,General,OpenDataKerala GitHub
2015,Kottayam,Kanjirappally,2,KANJIRAPPALLY,ADV. P A MOHAMMED SHAMEER,INC,General,General,OpenDataKerala GitHub
2015,Kottayam,Kanjirappally,3,CHOTTY,MARIAMMA JOSEPH,KC(M),Woman,Woman,OpenDataKerala GitHub
2015,Kottayam,Kanjirappally,4,KOOTTICKAL,SUBHESH SUDHAKARAN,CPI,General,General,OpenDataKerala GitHub
2015,Kottayam,Kanjirappally,5,PARATHODE,SOPHY JOSEPH,KC(M),Woman,Woman,OpenDataKerala GitHub
2015,Kottayam,Kanjirappally,6,MUNDAKKAYAM,LEELAMMA KUNJUMON,INC,SC Woman,SC Woman,OpenDataKerala GitHub
2015,Kottayam,Kanjirappally,7,VANDANPATHAL,AJITHA RATHEESH,CPI(M),Woman,Woman,OpenDataKerala GitHub
2015,Kottayam,Kanjirappally,8,PUNCHAVAYAL,P G VASANTHAKUMARY,CPI(M),Woman,Woman,OpenDataKerala GitHub
2015,Kottayam,Kanjirappally,9,KORUTHODU,V T AYUBKHAN,INC,General,General,OpenDataKerala GitHub
2015,Kottayam,Kanjirappally,10,MUKKOOTTUTHARA,PRAKASH P S,INC,SC,SC,OpenDataKerala GitHub
2015,Kottayam,Kanjirappally,11,ERUMELY,P K ABDULKARIM,CPI(M),General,General,OpenDataKerala GitHub
2015,Kottayam,Kanjirappally,12,CHENAPPADY,ASHA JOY,INC,Woman,Woman,OpenDataKerala GitHub
2015,Kottayam,Kanjirappally,13,PONTHENPUZHA,JAMES P SIMON,CPI(M),General,General,OpenDataKerala GitHub
2015,Kottayam,Kanjirappally,14,MANIMALA,ANNAMMA JOSEPH,INC,Woman,Woman,OpenDataKerala GitHub
2015,Kottayam,Kanjirappally,15,MANNARAKKAYAM,ROSAMMA AUGASTHY,INC,Woman,Woman,OpenDataKerala GitHub
2015,Idukki,Adimaly,1,VALARA,SALI VELAYUDHAN,INC,Woman,Woman,OpenDataKerala GitHub
2015,Idukki,Adimaly,2,MACHIPLAVU,USHA SADANANDHAN,INC,Woman,Woman,OpenDataKerala GitHub
2015,Idukki,Adimaly,3,KALLAR,SHYLA JOSE,CPI,Woman,Woman,OpenDataKerala GitHub
2015,Idukki,Adimaly,4,PALLIVASAL,R MURUGESAN,INC,SC,SC,OpenDataKerala GitHub
2015,Idukki,Adimaly,5,BYSONVALLEY,K N RAJU,CPI(M),General,General,OpenDataKerala GitHub
2015,Idukki,Adimaly,6,TEA COMPANY,ALOSHI PHILIP,INC,General,General,OpenDataKerala GitHub
2015,Idukki,Adimaly,7,SENGULAM,LALY SURENDRAN,INC,Woman,Woman,OpenDataKerala GitHub
2015,Idukki,Adimaly,8,VELLATHOOVAL,T M RAJAN,INC,ST,ST,OpenDataKerala GitHub
2015,Idukki,Adimaly,9,KONNATHADY,AMBILY SALEELAN,INC,Woman,Woman,OpenDataKerala GitHub
2015,Idukki,Adimaly,10,MUNIYARA,C K PRASAD,INC,General,General,OpenDataKerala GitHub
2015,Idukki,Adimaly,11,KAMBILIKANDAM,T P MALKA,KC(M),General,General,OpenDataKerala GitHub
2015,Idukki,Adimaly,12,200 ACRE,MOLY PETER,INC,Woman,Woman,OpenDataKerala GitHub
2015,Idukki,Adimaly,13,DEVIYAR,SHERLY JOSEPH,INC,Woman,Woman,OpenDataKerala GitHub
2015,Idukki,Devikulam,1,MARAYOOR,USHA HENTRY JOSEPH,INC,General,General,OpenDataKerala GitHub
2015,Idukki,Devikulam,2,KANTHALLOOR,R RADHAKRISHNAN,CPI(M),ST,ST,OpenDataKerala GitHub
2015,Idukki,Devikulam,3,VATTAVADA,KOKILAVANI GUNASEELAN,CPI(M),General,General,OpenDataKerala GitHub
2015,Idukki,Devikulam,4,MATTUPPETTY,P.JAYARAJ,INC,SC,SC,OpenDataKerala GitHub
2015,Idukki,Devikulam,5,CHINNAKKANAL,SASEENDRAN MUTTUKADU,INC,SC,SC,OpenDataKerala GitHub
2015,Idukki,Devikulam,6,ANAYIRANKAL,GEETHA .G. PATHMANABHAN,CPI(M),SC,SC,OpenDataKerala GitHub
2015,Idukki,Devikulam,7,SANTHANPARA,BIJU VATTAMATTATHIL,INC,SC,SC,OpenDataKerala GitHub
2015,Idukki,Devikulam,8,DEVIKULAM,VELMAYIL AROKIADAS,CPI,General,General,OpenDataKerala GitHub
2015,Idukki,Devikulam,9,MUNNAR,C.NELSON,INC,General,General,OpenDataKerala GitHub
2015,Idukki,Devikulam,10,SIVANMALA,SELVI P,CPI,Woman,Woman,OpenDataKerala GitHub
2015,Idukki,Devikulam,11,MANKULAM,SHEELADEVI,INC,SC,SC,OpenDataKerala GitHub
2015,Idukki,Devikulam,12,NALLATHANNY,GOMATHY,INDEPENDENT,General,General,OpenDataKerala GitHub
2015,Idukki,Devikulam,13,EDAMALAKKUDY,C. THAMIZHARASAN,INC,General,General,OpenDataKerala GitHub
2015,Idukki,Nedumkandam,1,RAJAKKAD,RAJI,INC,General,General,OpenDataKerala GitHub
2015,Idukki,Nedumkandam,3,RAJAKUMARY,SHERLY WILSON,INC,Woman,Woman,OpenDataKerala GitHub
2015,Idukki,Nedumkandam,4,SENAPATHY,JUBEE AJI,INC,Woman,Woman,OpenDataKerala GitHub
2015,Idukki,Nedumkandam,5,CHEMMANNAR,SINDHU REGHU,CPI(M),Woman,Woman,OpenDataKerala GitHub
2015,Idukki,Nedumkandam,6,PARATHODU,MARY JOSEPH(DAISSAMMA JOSEPH),CPI(M),Woman,Woman,OpenDataKerala GitHub
2015,Idukki,Nedumkandam,7,NEDUMKANDAM,MUKESH MOHANAN,INC,SC,SC,OpenDataKerala GitHub
2015,Idukki,Nedumkandam,8,THOOKKUPALAM,SASIKUMAR,INC,General,General,OpenDataKerala GitHub
2015,Idukki,Nedumkandam,9,RAMAKKALMEDU,ADV.G.GOPAKRISHNAN,CPI(M),General,General,OpenDataKerala GitHub
2015,Idukki,Nedumkandam,10,KAMBAMMETTU,K.K KUNJUMON,INC,General,General,OpenDataKerala GitHub
2015,Idukki,Nedumkandam,11,BALAGRAM,SINDHU SUKUMARAN NAIR,INC,Woman,Woman,OpenDataKerala GitHub
2015,Idukki,Nedumkandam,12,PAMPADUMPARA,LEENA JACOB,INC,Woman,Woman,OpenDataKerala GitHub
2015,Idukki,Nedumkandam,13,PONNAMALA,THOMAS THOMAS,KC(M),General,General,OpenDataKerala GitHub
2015,Idukki,Elemdesam,1,VANNAPPURAM,SHINEY AUGUSTINE,INC,Woman,Woman,OpenDataKerala GitHub
2015,Idukki,Elemdesam,2,MULLARINGADU,AJITHA SABU,CPI(M),Woman,Woman,OpenDataKerala GitHub
2015,Idukki,Elemdesam,3,KALIYAR,RAJEEV BHASKARAN,KC(M),SC,SC,OpenDataKerala GitHub
2015,Idukki,Elemdesam,4,CHEENIKUZHI,SOMY AUGUSTINE,INC,General,General,OpenDataKerala GitHub
2015,Idukki,Elemdesam,5,UDUMBANNOOR,GIGI SURENDRAN,INC,Woman,Woman,OpenDataKerala GitHub
2015,Idukki,Elemdesam,6,POOMALA,MARTIL MATHEW,KC(M),Woman,Woman,OpenDataKerala GitHub
2015,Idukki,Elemdesam,7,VELLIYAMATTOM,M.MONICHAN,KC(M),General,General,OpenDataKerala GitHub
2015,Idukki,Elemdesam,8,KUDAYATHOOR,MATHEW P I,INC,ST,ST,OpenDataKerala GitHub
2015,Idukki,Elemdesam,9,ALAKODE,SUJA SHAJI,INDEPENDENT,Woman,Woman,OpenDataKerala GitHub
2015,Idukki,Elemdesam,10,PANNOOR,GOURI SUKUMARAN,INC,Woman,Woman,OpenDataKerala GitHub
2015,Idukki,Elemdesam,11,KARIMANNOOR,BASIL JOHN,INDEPENDENT,General,General,OpenDataKerala GitHub
2015,Idukki,Elemdesam,12,VANADAMATTOM,BINDU PRASANNAN,INC,Woman,Woman,OpenDataKerala GitHub
2015,Idukki,Elemdesam,13,KODIKULAM,SAJU MATHEW,KC(M),General,General,OpenDataKerala GitHub
2015,Idukki,Idukki,1,PAZHAYARIKANDOM,AUGUSTY AZHAKATH,INC,General,General,OpenDataKerala GitHub
2015,Idukki,Idukki,2,KANJIKKUZHY,TOMY JOSEPH,INDEPENDENT,General,General,OpenDataKerala GitHub
2015,Idukki,Idukki,3,CHURULY,MOLLY GHEEVARGHESE,INC,Woman,Woman,OpenDataKerala GitHub
2015,Idukki,Idukki,4,MURICKASSERY,SUNITHA K. S,CPI(M),Woman,Woman,OpenDataKerala GitHub
2015,Idukki,Idukki,5,PADAMUGHAM,CELINE MATHEW,KC(M),Woman,Woman,OpenDataKerala GitHub
2015,Idukki,Idukki,6,THOPRAMKUDY,K P SURENDRAN,INDEPENDENT,ST,ST,OpenDataKerala GitHub
